post_id,comment_id,support_tags,created_utc
om798f,h5j5kk8,"Information Support, Esteem Support",1626540383
ol3l81,h5bz1on,Information Support,1626389826
ojmgbg,h52l5q5,"Information Support, Emotional Support",1626204661
ojmgbg,h5314q6,"Information Support, Tangible Assistance",1626211900
ojkjeq,h52fift,"Information Support, Esteem Support",1626202162
ojkjeq,h53mnmh,"Information Support, Esteem Support",1626222795
ojkjeq,h9m0pf8,"Information Support, Esteem Support",1629424783
ojkjeq,hauqmyu,Esteem Support,1630273289
o9i5c6,h3fyfyn,"Information Support, Esteem Support",1624977110
o93cwk,h39508u,Information Support,1624829338
o5htlf,h2pacip,"Information Support, Tangible Assistance",1624400012
o0h2kg,h1xwpnc,Information Support,1623825629
o06bi1,h1tupii,Emotional Support,1623747275
nz2idq,h1pkdk4,"Information Support, Esteem Support",1623658271
nxaylh,h1fr2jl,"Information Support, Esteem Support",1623439171
nxaylh,h1fems3,"Information Support, Emotional Support, Esteem Support",1623433659
nxaylh,h1ojp54,"Information Support, Esteem Support",1623632210
nxaylh,h1rcgz5,"Emotional Support, Esteem Support, Tangible Assistance",1623695762
nwxn0z,h1bwxil,Information Support,1623360994
nwxn0z,h1deeg9,"Information Support, Emotional Support",1623389837
nwxn0z,h1op5tx,Information Support,1623635332
nutews,h10qi1u,"Information Support, Esteem Support",1623154755
nrl9si,h0ifk2p,Emotional Support,1622769078
nrl9si,h0o4gvy,"Information Support, Emotional Support",1622886238
npkwwt,h0euvbu,Information Support,1622703817
nnms4b,gzv9lai,Information Support,1622293953
nnms4b,gzxz7up,Information Support,1622348269
nfv1lv,gyoi025,"Information Support, Esteem Support",1621420610
n9ulje,gxpuyvv,"Information Support, Esteem Support",1620733502
n8kldg,gxixu2f,"Information Support, Esteem Support",1620586936
n8kldg,gzhdwdq,"Information Support, Esteem Support",1622007901
n6p876,gzhza7c,"Information Support, Emotional Support, Esteem Support, Group Interaction",1622026161
n6nxe5,gx89jen,"Information Support, Esteem Support",1620354950
n6nxe5,gx8a8q0,"Information Support, Esteem Support",1620355327
n6nxe5,gx90tgf,"Information Support, Esteem Support",1620374241
n6egb7,gx794rz,"Information Support, Emotional Support",1620336975
n6egb7,gx7cc5g,Information Support,1620338376
n5atad,gx06h0r,"Information Support, Emotional Support, Esteem Support",1620203072
n5atad,gx3dhwg,"Information Support, Group Interaction",1620260417
n5atad,gycrfrc,"Information Support, Group Interaction",1621191293
n3qkds,gwrdvf4,Information Support,1620030976
n3qkds,gwrlule,"Information Support, Esteem Support",1620037842
n0kcy2,gw75buy,"Information Support, Esteem Support",1619632443
mys2w5,gvwt42w,Information Support,1619428216
mys2w5,gvwvn1x,"Information Support, Emotional Support, Group Interaction",1619430685
mvx4fe,gvev7v2,"Information Support, Emotional Support, Esteem Support, Tangible Assistance",1619068241
mvx4fe,gvewjlh,"Information Support, Emotional Support, Esteem Support",1619069252
mvx4fe,gvewjlk,"Information Support, Emotional Support, Esteem Support",1619069252
mvx4fe,gvj3h35,"Information Support, Esteem Support",1619150862
msmm6f,gutiqf3,Information Support,1618647096
msmm6f,guugo4i,"Information Support, Emotional Support, Esteem Support",1618665601
mllmyr,gtm5wqj,"Information Support, Esteem Support",1617743348
mllmyr,gtmmh97,Information Support,1617751468
mllmyr,gtt3jzm,Emotional Support,1617888518
ml2iun,gtjmocb,"Information Support, Emotional Support, Esteem Support",1617692785
ml2iun,gtjz8eg,Information Support,1617705169
mkrldi,gti2xc9,"Information Support, Emotional Support, Esteem Support",1617659782
mkrldi,gti7yuk,Information Support,1617662291
mitskx,gt6r3kl,"Information Support, Esteem Support",1617402267
